FishID,Species,Weight,Length,Width
1,Bream,242,23.2,4.02
2,Bream,290,24,4.3056
3,Bream,340,23.9,4.6961
4,Bream,363,26.3,4.4555
5,Bream,430,26.5,5.134
6,Bream,450,26.8,4.9274
7,Bream,500,26.8,5.2785
8,Bream,390,27.6,4.69
9,Bream,450,27.6,4.8438
10,Bream,500,28.5,4.9594
11,Bream,475,28.4,5.1042
12,Bream,500,28.7,4.8146
13,Bream,500,29.1,4.368
14,Bream,340,29.5,5.0728
15,Bream,600,29.4,5.1708
16,Bream,600,29.4,5.58
17,Bream,700,30.4,5.2854
18,Bream,700,30.4,5.1975
19,Bream,610,30.9,5.1338
20,Bream,650,31,5.7276
21,Bream,575,31.3,5.5695
22,Bream,685,31.4,5.3704
23,Bream,620,31.5,5.2801
24,Bream,680,31.8,6.1306
25,Bream,700,31.9,5.589
26,Bream,725,31.8,6.0532
27,Bream,720,32,6.09
28,Bream,714,32.7,5.8515
29,Bream,850,32.8,6.1984
30,Bream,1000,33.5,6.603
31,Bream,920,35,6.3063
32,Bream,955,35,6.292
33,Bream,925,36.2,6.7497
34,Bream,975,37.4,6.7473
35,Bream,950,38,6.3705
36,Perch,5.9,7.5,1.408
37,Perch,32,12.5,1.9992
38,Perch,40,13.8,2.432
39,Perch,51.5,15,2.6316
40,Perch,70,15.7,2.9415
41,Perch,100,16.2,3.3216
42,Perch,78,16.8,3.1234
43,Perch,80,17.2,3.0502
44,Perch,85,17.8,3.0368
45,Perch,85,18.2,2.772
46,Perch,110,19,3.555
47,Perch,115,19,3.3075
48,Perch,125,19,3.6675
49,Perch,130,19.3,3.534
50,Perch,120,20,3.4075
51,Perch,120,20,3.525
52,Perch,130,20,3.525
53,Perch,135,20,3.525
54,Perch,110,20,3.995
55,Perch,130,20.5,3.624
56,Perch,150,20.5,3.624
57,Perch,145,20.7,3.63
58,Perch,150,21,3.626
59,Perch,170,21.5,3.725
60,Perch,225,22,3.723
61,Perch,145,22,3.825
62,Perch,188,22.6,4.1658
63,Perch,180,23,3.6835
64,Perch,197,23.5,4.239
65,Perch,218,25,4.144
66,Perch,300,25.2,5.1373
67,Perch,260,25.4,4.335
68,Perch,265,25.4,4.335
69,Perch,250,25.4,4.5662
70,Perch,250,25.9,4.2042
71,Perch,300,26.9,4.6354
72,Perch,320,27.8,4.7716
73,Perch,514,30.5,6.018
74,Perch,556,32,6.3875
75,Perch,840,32.5,7.7957
76,Perch,685,34,6.864
77,Perch,700,34,6.7408
78,Perch,700,34.5,6.2646
79,Perch,690,34.6,6.3666
80,Perch,900,36.5,7.4934
81,Perch,650,36.5,6.003
82,Perch,820,36.6,7.3514
83,Perch,850,36.9,7.1064
84,Perch,900,37,7.225
85,Perch,1015,37,7.4624
86,Perch,820,37.1,6.63
87,Perch,1100,39,6.8684
88,Perch,1000,39.8,7.2772
89,Perch,1100,40.1,7.4165
90,Perch,1000,40.2,8.142
91,Perch,1000,41.1,7.5958
92,Bream,270,23.6,4.2476
93,Bream,270,24.1,4.2485
94,Bream,306,25.6,4.6816
95,Bream,540,28.5,6.562
96,Bream,800,33.7,6.5736
97,Bream,1000,37.3,6.525
98,Perch,55,13.5,2.3265
99,Perch,60,14.3,2.3142
100,Perch,90,16.3,2.673
101,Perch,120,17.5,2.9181
102,Perch,150,18.4,3.2928
103,Perch,140,19,3.2944
104,Perch,170,19,3.4104
105,Perch,145,19.8,3.1571
106,Perch,200,21.2,3.6636
107,Perch,273,23,4.144
108,Perch,300,24,4.234
109,Bream,200,30,3.3756
110,Bream,300,31.7,4.158
111,Bream,300,32.7,4.3844
112,Bream,300,34.8,4.0198
113,Bream,430,35.5,4.5765
114,Bream,345,36,3.977
115,Bream,456,40,4.3225
116,Bream,510,40,4.459
117,Perch,6.7,9.3,1.0476
118,Perch,7.5,10,1.16
119,Perch,7,10.1,1.1484
120,Perch,9.7,10.4,1.38
121,Perch,9.8,10.7,1.2772
122,Perch,8.7,10.8,1.2852
123,Perch,10,11.3,1.2838
124,Perch,9.9,11.3,1.1659
125,Perch,9.8,11.4,1.1484
126,Perch,12.2,11.5,1.3936
127,Perch,13.4,11.7,1.269
